路径ID,路径描述,间接效应均值,间接效应HDI下限,间接效应HDI上限,间接效应标准差,直接效应均值,直接效应HDI下限,直接效应HDI上限,直接效应标准差,总效应均值,总效应HDI下限,总效应HDI上限,总效应标准差,中介比例,中介比例百分比,主要影响类型,影响强度,间接效应方向,直接效应方向,中介类型,显著性概率,是否显著,正向效应概率,负向效应概率,结论
11,检验_白球比 → 检验_前白蛋白 → 检验_胆碱酯酶,0.189,0.1323,0.2523,0.0326,0.0914,-0.0124,0.1906,0.0539,0.2805,0.1798,0.3848,0.055,0.6955,69.5,间接影响（中介效应）,强,正向中介,正向直接效应,部分中介,1.0,是,1.0,0.0,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为部分中介，中介比例为69.5%。
12,检验_白球比 → 检验_前白蛋白 → 检验_镁,0.1196,0.0683,0.1732,0.0284,0.0992,-0.0088,0.2126,0.0591,0.2187,0.1184,0.3215,0.055,0.5855,58.6,间接影响（中介效应）,强,正向中介,正向直接效应,部分中介,1.0,是,1.0,0.0,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为部分中介，中介比例为58.6%。
13,检验_白球比 → 检验_前白蛋白 → 检验_总胆红素,0.1475,0.0883,0.2031,0.0307,-0.0248,-0.1356,0.0832,0.059,0.1227,0.0197,0.2294,0.0572,1.6244,162.4,间接影响（中介效应）,强,正向中介,负向直接效应,完全中介,1.0,是,1.0,0.0,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为162.4%。
14,检验_白球比 → 检验_白蛋白 → 检验_总蛋白,0.1279,0.078,0.1817,0.0287,0.0099,-0.0911,0.1208,0.0555,0.1378,0.0346,0.246,0.0569,1.1411,114.1,间接影响（中介效应）,强,正向中介,正向直接效应,完全中介,1.0,是,1.0,0.0,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为114.1%。
15,检验_白球比 → 检验_血小板 → 药物_维生素C注射液,0.0391,0.0041,0.0748,0.0189,0.2079,0.0938,0.3166,0.0599,0.247,0.1415,0.354,0.0571,0.1685,16.8,直接影响,强,正向中介,正向直接效应,弱中介,0.9885,是,0.9885,0.0115,该路径存在显著的正向直接效应，主要通过直接影响发挥作用。 中介效应强度为弱中介，中介比例为16.8%。
16,检验_白球比 → 检验_血小板 → 检验_血小板比容,0.1033,0.057,0.1513,0.0255,-0.0005,-0.1044,0.1096,0.0565,0.1027,-0.0055,0.2036,0.0571,3.6603,366.0,间接影响（中介效应）,强,正向中介,负向直接效应,完全中介,1.0,是,1.0,0.0,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为366.0%。
17,检验_白球比 → 疾病_高脂血症 → 疾病_动脉硬化,-0.0897,-0.1349,-0.0464,0.025,0.0671,-0.0443,0.1631,0.0552,-0.0226,-0.1364,0.0812,0.058,0.1934,19.3,间接影响（中介效应）,强,负向中介,正向直接效应,弱中介,1.0,是,0.0,1.0,该路径存在显著的负向中介，主要通过间接影响发挥作用。 中介效应强度为弱中介，中介比例为19.3%。
18,检验_白球比 → 疾病_高脂血症 → 药物_匹伐他汀钙片,-0.0728,-0.1138,-0.0352,0.0215,-0.0187,-0.1304,0.0853,0.057,-0.0915,-0.2039,0.0133,0.0584,-0.5655,-56.6,间接影响（中介效应）,强,负向中介,负向直接效应,部分中介,1.0,是,0.0,1.0,该路径存在显著的负向中介，主要通过间接影响发挥作用。 中介效应强度为部分中介，中介比例为-56.6%。
19,检验_白球比 → 疾病_高脂血症 → 药物_阿托伐他汀钙片,-0.0761,-0.1159,-0.0372,0.0217,0.1593,0.0486,0.2569,0.0567,0.0832,-0.0248,0.1959,0.0581,-0.4243,-42.4,直接影响,强,负向中介,正向直接效应,部分中介,1.0,是,0.0,1.0,该路径存在显著的正向直接效应，主要通过直接影响发挥作用。 中介效应强度为部分中介，中介比例为-42.4%。
20,检验_白球比 → 疾病_高脂血症 → 疾病_腔隙性脑梗死,-0.0435,-0.0757,-0.0142,0.017,-0.0469,-0.1527,0.0687,0.0585,-0.0904,-0.1914,0.0282,0.0581,1.1449,114.5,直接影响,强,负向中介,负向直接效应,完全中介,0.999,是,0.001,0.999,该路径存在显著的负向直接效应，主要通过直接影响发挥作用。 中介效应强度为完全中介，中介比例为114.5%。
21,检验_白球比 → 疾病_高脂血症 → 疾病_前列腺增生,-0.0368,-0.0683,-0.0082,0.0164,-0.0185,-0.1261,0.0952,0.0599,-0.0553,-0.1645,0.0542,0.059,1.5686,156.9,间接影响（中介效应）,强,负向中介,负向直接效应,完全中介,0.997,是,0.003,0.997,该路径存在显著的负向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为156.9%。
22,检验_白球比 → 药物_氯化钾注射液 → 疾病_肺部感染,0.2443,0.1812,0.3188,0.0371,0.0579,-0.0435,0.1557,0.0524,0.3023,0.1975,0.414,0.0565,0.8285,82.9,间接影响（中介效应）,强,正向中介,正向直接效应,完全中介,1.0,是,1.0,0.0,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为82.9%。
23,检验_白球比 → 药物_氯化钾注射液 → 药物_维生素C注射液,0.2551,0.193,0.3314,0.038,-0.0086,-0.1073,0.0894,0.0521,0.2465,0.1452,0.36,0.0566,1.0819,108.2,间接影响（中介效应）,强,正向中介,负向直接效应,完全中介,1.0,是,1.0,0.0,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为108.2%。
24,检验_白球比 → 药物_氯化钾注射液 → 药物_氯化钠注射液,0.2304,0.1659,0.3028,0.0361,0.0813,-0.0099,0.1829,0.0517,0.3118,0.2126,0.4172,0.0549,0.7553,75.5,间接影响（中介效应）,强,正向中介,正向直接效应,部分中介,1.0,是,1.0,0.0,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为部分中介，中介比例为75.5%。
25,检验_白球比 → 药物_氯化钾注射液 → 检验_平均血红蛋白浓度,0.1433,0.0868,0.2012,0.0314,-0.1124,-0.2308,0.0058,0.0627,0.031,-0.0789,0.1433,0.0584,-1.6833,-168.3,间接影响（中介效应）,强,正向中介,负向直接效应,完全中介,1.0,是,1.0,0.0,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为-168.3%。
26,检验_白球比 → 药物_氯化钾注射液 → 药物_盐酸氨溴索注射液,0.4016,0.3102,0.4989,0.0514,-0.0,-0.0352,0.0398,0.0199,0.4016,0.2978,0.4963,0.054,1.0022,100.2,间接影响（中介效应）,强,正向中介,负向直接效应,完全中介,1.0,是,1.0,0.0,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为100.2%。
27,检验_白球比 → 检验_钙 → 检验_嗜碱性粒细胞比率,-0.0126,-0.0419,0.0128,0.0144,-0.0908,-0.2047,0.0306,0.0619,-0.1033,-0.2179,0.0055,0.0607,-0.2869,-28.7,直接影响,强,负向中介,负向直接效应,部分中介,0.826,否,0.174,0.826,该路径的中介效应不显著。 中介效应强度为部分中介，中介比例为-28.7%。
28,检验_白球比 → 药物_盐酸吗啡注射液 → 药物_盐酸布桂嗪注射液,0.0417,0.0125,0.0721,0.0164,0.0613,-0.048,0.166,0.0581,0.103,-0.0036,0.207,0.0577,0.6795,68.0,直接影响,强,正向中介,正向直接效应,部分中介,0.9995,是,0.9995,0.0005,该路径存在显著的正向直接效应，主要通过直接影响发挥作用。 中介效应强度为部分中介，中介比例为68.0%。
29,疾病_糖尿病 → 疾病_糖尿病性周围神经病 → 疾病_糖尿病性周围血管病,0.174,0.1154,0.2343,0.0324,0.0849,-0.0177,0.1889,0.0559,0.2589,0.1471,0.3595,0.0558,0.7001,70.0,间接影响（中介效应）,强,正向中介,正向直接效应,部分中介,1.0,是,1.0,0.0,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为部分中介，中介比例为70.0%。
30,疾病_糖尿病 → 疾病_糖尿病性周围神经病 → 疾病_糖尿病性视网膜病变,0.131,0.0827,0.1889,0.0287,0.0386,-0.0744,0.1466,0.0599,0.1696,0.0713,0.2837,0.0574,0.9095,90.9,间接影响（中介效应）,强,正向中介,正向直接效应,完全中介,1.0,是,1.0,0.0,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为90.9%。
31,疾病_糖尿病 → 疾病_糖尿病性周围神经病 → 疾病_高尿酸血症,0.1105,0.0621,0.1587,0.0271,0.1426,0.0318,0.25,0.0584,0.2532,0.1493,0.3504,0.055,0.4576,45.8,直接影响,强,正向中介,正向直接效应,部分中介,1.0,是,1.0,0.0,该路径存在显著的正向直接效应，主要通过直接影响发挥作用。 中介效应强度为部分中介，中介比例为45.8%。
32,疾病_糖尿病 → 疾病_糖尿病性周围神经病 → 药物_甲钴胺片,0.0946,0.0468,0.1497,0.0268,0.034,-0.0805,0.1449,0.0609,0.1287,0.0125,0.2279,0.0582,2.5736,257.4,间接影响（中介效应）,强,正向中介,正向直接效应,完全中介,1.0,是,1.0,0.0,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为257.4%。
33,疾病_糖尿病 → 检验_葡萄糖 → 疾病_肝囊肿,-0.0797,-0.135,-0.0249,0.0292,-0.1144,-0.23,0.0026,0.0626,-0.1941,-0.3024,-0.0936,0.0562,0.4581,45.8,直接影响,强,负向中介,负向直接效应,部分中介,0.9995,是,0.0005,0.9995,该路径存在显著的负向直接效应，主要通过直接影响发挥作用。 中介效应强度为部分中介，中介比例为45.8%。
34,疾病_糖尿病 → 检验_葡萄糖 → 药物_地西泮注射液,0.0738,0.0181,0.1327,0.0311,-0.0338,-0.1544,0.0862,0.0641,0.0401,-0.0626,0.1531,0.0573,1.345,134.5,间接影响（中介效应）,强,正向中介,负向直接效应,完全中介,0.99,是,0.99,0.01,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为134.5%。
35,疾病_糖尿病 → 检验_葡萄糖 → 药物_碳酸钙片,-0.0066,-0.0639,0.0444,0.0289,-0.0036,-0.1284,0.1229,0.0659,-0.0102,-0.1162,0.1031,0.0581,-0.2236,-22.4,间接影响（中介效应）,强,负向中介,负向直接效应,部分中介,0.5865,否,0.4135,0.5865,该路径的中介效应不显著。 中介效应强度为部分中介，中介比例为-22.4%。
36,疾病_糖尿病 → 药物_甲钴胺分散片 → 药物_卡维地洛片,0.0844,0.0442,0.1314,0.0239,0.0174,-0.0916,0.1264,0.0589,0.1018,-0.0002,0.2106,0.0585,1.1606,116.1,间接影响（中介效应）,强,正向中介,正向直接效应,完全中介,1.0,是,1.0,0.0,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为116.1%。
37,疾病_糖尿病 → 药物_阿卡波糖片 → 疾病_非毒性单个甲状腺结节,0.1209,0.0674,0.1789,0.03,0.0317,-0.0772,0.1523,0.0614,0.1526,0.0491,0.2569,0.057,0.9441,94.4,间接影响（中介效应）,强,正向中介,正向直接效应,完全中介,1.0,是,1.0,0.0,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为94.4%。
38,疾病_糖尿病 → 药物_阿卡波糖片 → 药物_精蛋白生物合成人胰岛素注射液,0.0806,0.0259,0.1374,0.0297,0.0518,-0.0652,0.1691,0.0626,0.1324,0.0159,0.2312,0.0574,0.761,76.1,间接影响（中介效应）,强,正向中介,正向直接效应,部分中介,0.999,是,0.999,0.001,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为部分中介，中介比例为76.1%。
39,疾病_糖尿病 → 药物_阿卡波糖片 → 检验_谷草转氨酶,0.1004,0.0444,0.1578,0.0299,-0.1204,-0.251,-0.0158,0.0617,-0.02,-0.1292,0.0821,0.0567,-5.8122,-581.2,直接影响,强,正向中介,负向直接效应,完全中介,1.0,是,1.0,0.0,该路径存在显著的负向直接效应，主要通过直接影响发挥作用。 中介效应强度为完全中介，中介比例为-581.2%。
40,疾病_糖尿病 → 药物_阿卡波糖片 → 疾病_糖尿病性周围神经病,0.1177,0.0621,0.1704,0.029,0.2563,0.1375,0.3633,0.0586,0.374,0.2597,0.4703,0.0552,0.3203,32.0,直接影响,强,正向中介,正向直接效应,部分中介,1.0,是,1.0,0.0,该路径存在显著的正向直接效应，主要通过直接影响发挥作用。 中介效应强度为部分中介，中介比例为32.0%。
41,疾病_糖尿病 → 药物_阿卡波糖片 → 疾病_泌尿系感染,0.1203,0.0654,0.1783,0.0299,-0.0095,-0.1287,0.1007,0.0616,0.1108,0.0103,0.2246,0.0568,3.4447,344.5,间接影响（中介效应）,强,正向中介,负向直接效应,完全中介,1.0,是,1.0,0.0,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为344.5%。
42,疾病_糖尿病 → 检验_尿酸 → 疾病_高尿酸血症,0.0311,0.0053,0.0565,0.0143,0.2226,0.1126,0.3318,0.0587,0.2537,0.1508,0.3677,0.0585,0.1287,12.9,直接影响,强,正向中介,正向直接效应,弱中介,0.999,是,0.999,0.001,该路径存在显著的正向直接效应，主要通过直接影响发挥作用。 中介效应强度为弱中介，中介比例为12.9%。
43,疾病_糖尿病 → 检验_尿酸 → 疾病_重度骨质疏松,0.004,-0.015,0.0254,0.0101,-0.0112,-0.1195,0.1119,0.0613,-0.0072,-0.1155,0.1116,0.0602,-0.1231,-12.3,直接影响,强,正向中介,负向直接效应,弱中介,0.67,否,0.67,0.33,该路径的中介效应不显著。 中介效应强度为弱中介，中介比例为-12.3%。
44,疾病_糖尿病 → 检验_尿酸 → 检验_钾,0.0276,0.0037,0.0551,0.0137,-0.0084,-0.1138,0.1098,0.0598,0.0192,-0.0871,0.1337,0.0596,0.0358,3.6,间接影响（中介效应）,强,正向中介,负向直接效应,弱中介,0.9945,是,0.9945,0.0055,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为弱中介，中介比例为3.6%。
45,疾病_糖尿病 → 检验_尿酸 → 疾病_慢性胃炎,-0.015,-0.038,0.003,0.0111,-0.1059,-0.2051,0.0109,0.0574,-0.1209,-0.2293,-0.0163,0.0571,0.095,9.5,直接影响,强,负向中介,负向直接效应,弱中介,0.9415,否,0.0585,0.9415,该路径的中介效应不显著。 中介效应强度为弱中介，中介比例为9.5%。
46,疾病_糖尿病 → 检验_尿酸 → 药物_劳拉西泮片,0.0094,-0.0089,0.0315,0.0108,-0.0722,-0.1871,0.0426,0.0622,-0.0628,-0.1779,0.0438,0.0613,0.0675,6.7,直接影响,强,正向中介,负向直接效应,弱中介,0.8235,否,0.8235,0.1765,该路径的中介效应不显著。 中介效应强度为弱中介，中介比例为6.7%。
47,疾病_糖尿病 → 疾病_肝囊肿 → 疾病_结肠息肉,-0.0449,-0.0754,-0.0151,0.0167,-0.0453,-0.1551,0.0687,0.0599,-0.0902,-0.2014,0.0167,0.0602,-2.1127,-211.3,直接影响,强,负向中介,负向直接效应,完全中介,0.9995,是,0.0005,0.9995,该路径存在显著的负向直接效应，主要通过直接影响发挥作用。 中介效应强度为完全中介，中介比例为-211.3%。
48,检验_淋巴细胞数量 → 检验_淋巴细胞比率 → 检验_中性粒细胞比率,0.2864,0.2165,0.3663,0.0398,0.0214,-0.0724,0.1069,0.0487,0.3078,0.2082,0.4111,0.0538,0.9498,95.0,间接影响（中介效应）,强,正向中介,正向直接效应,完全中介,1.0,是,1.0,0.0,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为95.0%。
49,检验_淋巴细胞数量 → 检验_淋巴细胞比率 → 药物_维生素B6注射液,0.0772,0.0247,0.1325,0.0294,-0.0612,-0.1829,0.0637,0.0649,0.0159,-0.0969,0.1182,0.0581,-2.7401,-274.0,间接影响（中介效应）,强,正向中介,负向直接效应,完全中介,1.0,是,1.0,0.0,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为-274.0%。
50,检验_淋巴细胞数量 → 检验_直接胆红素 → 检验_总胆汁酸,0.0762,0.0383,0.119,0.0221,0.0568,-0.0554,0.1679,0.0598,0.133,0.0277,0.2529,0.0588,0.9031,90.3,间接影响（中介效应）,强,正向中介,正向直接效应,完全中介,1.0,是,1.0,0.0,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为90.3%。
51,检验_淋巴细胞数量 → 检验_直接胆红素 → 检验_碱性磷酸酶,0.0686,0.0333,0.1066,0.0201,0.2713,0.1642,0.3752,0.0562,0.3398,0.2421,0.446,0.0553,0.2063,20.6,直接影响,强,正向中介,正向直接效应,部分中介,1.0,是,1.0,0.0,该路径存在显著的正向直接效应，主要通过直接影响发挥作用。 中介效应强度为部分中介，中介比例为20.6%。
52,检验_淋巴细胞数量 → 检验_直接胆红素 → 药物_盐酸羟考酮缓释片,0.0816,0.0377,0.1224,0.0228,0.1789,0.0676,0.2798,0.0566,0.2605,0.1588,0.3707,0.0569,0.3288,32.9,直接影响,强,正向中介,正向直接效应,部分中介,1.0,是,1.0,0.0,该路径存在显著的正向直接效应，主要通过直接影响发挥作用。 中介效应强度为部分中介，中介比例为32.9%。
53,检验_淋巴细胞数量 → 检验_直接胆红素 → 检验_总胆红素,0.1604,0.0991,0.2272,0.0352,-0.1148,-0.2034,-0.0189,0.0497,0.0456,-0.0608,0.1569,0.0584,1.5046,150.5,间接影响（中介效应）,强,正向中介,负向直接效应,完全中介,1.0,是,1.0,0.0,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为150.5%。
54,检验_淋巴细胞数量 → 检验_直接胆红素 → 疾病_泌尿系感染,-0.0386,-0.0746,-0.0092,0.0177,0.1169,-0.006,0.2249,0.0616,0.0783,-0.0309,0.1835,0.0593,14.8486,1484.9,直接影响,强,负向中介,正向直接效应,完全中介,0.988,是,0.012,0.988,该路径存在显著的正向直接效应，主要通过直接影响发挥作用。 中介效应强度为完全中介，中介比例为1484.9%。
55,疾病_低蛋白血症 → 检验_白球比 → 检验_C反应蛋白,0.1633,0.0962,0.2321,0.0365,0.2703,0.1627,0.3871,0.0604,0.4336,0.3358,0.5302,0.0521,0.3813,38.1,直接影响,强,正向中介,正向直接效应,部分中介,1.0,是,1.0,0.0,该路径存在显著的正向直接效应，主要通过直接影响发挥作用。 中介效应强度为部分中介，中介比例为38.1%。
56,疾病_低蛋白血症 → 检验_白球比 → 检验_前白蛋白,0.1121,0.0496,0.1802,0.0353,0.3466,0.2413,0.4687,0.0607,0.4587,0.3611,0.5509,0.0521,0.247,24.7,直接影响,强,正向中介,正向直接效应,部分中介,0.9995,是,0.9995,0.0005,该路径存在显著的正向直接效应，主要通过直接影响发挥作用。 中介效应强度为部分中介，中介比例为24.7%。
57,疾病_低蛋白血症 → 检验_白球比 → 检验_白蛋白,0.15,0.0868,0.227,0.0381,0.0441,-0.0789,0.1716,0.0664,0.194,0.0756,0.2959,0.0587,0.8689,86.9,间接影响（中介效应）,强,正向中介,正向直接效应,完全中介,1.0,是,1.0,0.0,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为86.9%。
58,疾病_低蛋白血症 → 检验_白球比 → 检验_血小板,0.1391,0.0756,0.2169,0.0381,0.0626,-0.0601,0.1927,0.0667,0.2017,0.0921,0.3033,0.0557,0.7636,76.4,间接影响（中介效应）,强,正向中介,正向直接效应,部分中介,1.0,是,1.0,0.0,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为部分中介，中介比例为76.4%。
59,疾病_低蛋白血症 → 检验_白球比 → 疾病_高脂血症,-0.0966,-0.1626,-0.0181,0.0383,-0.105,-0.2354,0.0261,0.0698,-0.2016,-0.3046,-0.0922,0.0584,0.5379,53.8,直接影响,强,负向中介,负向直接效应,部分中介,0.993,是,0.007,0.993,该路径存在显著的负向直接效应，主要通过直接影响发挥作用。 中介效应强度为部分中介，中介比例为53.8%。
60,疾病_低蛋白血症 → 检验_白球比 → 药物_氯化钾注射液,0.2338,0.1634,0.3109,0.039,-0.0309,-0.1463,0.0867,0.063,0.2029,0.1009,0.3075,0.0561,1.2698,127.0,间接影响（中介效应）,强,正向中介,负向直接效应,完全中介,1.0,是,1.0,0.0,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为127.0%。
61,疾病_低蛋白血症 → 检验_白球比 → 检验_钙,0.0825,0.0144,0.1491,0.0364,0.1577,0.0352,0.2795,0.0665,0.2403,0.132,0.3388,0.0559,0.3659,36.6,直接影响,强,正向中介,正向直接效应,部分中介,0.9895,是,0.9895,0.0105,该路径存在显著的正向直接效应，主要通过直接影响发挥作用。 中介效应强度为部分中介，中介比例为36.6%。
62,疾病_低蛋白血症 → 检验_白球比 → 药物_盐酸吗啡注射液,0.1259,0.0528,0.2002,0.0391,-0.0303,-0.1548,0.09,0.0666,0.0956,-0.0163,0.1973,0.0561,1.1436,114.4,间接影响（中介效应）,强,正向中介,负向直接效应,完全中介,0.999,是,0.999,0.001,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为114.4%。
63,疾病_低蛋白血症 → 检验_C反应蛋白 → 药物_复方鲜竹沥液,0.1168,0.0647,0.1784,0.0305,0.033,-0.0849,0.1545,0.0628,0.1499,0.0376,0.2541,0.0572,0.6943,69.4,间接影响（中介效应）,强,正向中介,正向直接效应,部分中介,1.0,是,1.0,0.0,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为部分中介，中介比例为69.4%。
64,疾病_低蛋白血症 → 检验_C反应蛋白 → 疾病_低钾血症,0.1629,0.1021,0.2231,0.033,-0.055,-0.1671,0.0691,0.0626,0.1079,-0.0005,0.2156,0.0583,0.693,69.3,间接影响（中介效应）,强,正向中介,负向直接效应,部分中介,1.0,是,1.0,0.0,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为部分中介，中介比例为69.3%。
65,疾病_低蛋白血症 → 检验_C反应蛋白 → 检验_总蛋白,0.0753,0.0179,0.1252,0.0286,0.1112,0.0008,0.2369,0.0633,0.1865,0.0858,0.2951,0.0559,0.4598,46.0,直接影响,强,正向中介,正向直接效应,部分中介,0.998,是,0.998,0.002,该路径存在显著的正向直接效应，主要通过直接影响发挥作用。 中介效应强度为部分中介，中介比例为46.0%。
66,检验_中性粒细胞数量 → 检验_白细胞 → 药物_二羟丙茶碱注射液,-0.0695,-0.1379,-0.0064,0.0353,0.1157,0.0022,0.257,0.0677,0.0461,-0.0601,0.1498,0.0569,-0.4073,-40.7,直接影响,强,负向中介,正向直接效应,部分中介,0.976,是,0.024,0.976,该路径存在显著的正向直接效应，主要通过直接影响发挥作用。 中介效应强度为部分中介，中介比例为-40.7%。
67,检验_中性粒细胞数量 → 检验_镁 → 检验_碳酸氢盐,0.0351,0.0089,0.0691,0.0161,-0.0856,-0.1961,0.0183,0.0578,-0.0504,-0.1542,0.0561,0.0581,-0.6773,-67.7,直接影响,强,正向中介,负向直接效应,部分中介,0.9945,是,0.9945,0.0055,该路径存在显著的负向直接效应，主要通过直接影响发挥作用。 中介效应强度为部分中介，中介比例为-67.7%。
