路径ID,起始节点,中介变量,终点节点,完整路径
28,检验_白球比,药物_盐酸吗啡注射液,药物_盐酸布桂嗪注射液,检验_白球比 → 药物_盐酸吗啡注射液 → 药物_盐酸布桂嗪注射液
29,疾病_糖尿病,疾病_糖尿病性周围神经病,疾病_糖尿病性周围血管病,疾病_糖尿病 → 疾病_糖尿病性周围神经病 → 疾病_糖尿病性周围血管病
30,疾病_糖尿病,疾病_糖尿病性周围神经病,疾病_糖尿病性视网膜病变,疾病_糖尿病 → 疾病_糖尿病性周围神经病 → 疾病_糖尿病性视网膜病变
31,疾病_糖尿病,疾病_糖尿病性周围神经病,疾病_高尿酸血症,疾病_糖尿病 → 疾病_糖尿病性周围神经病 → 疾病_高尿酸血症
32,疾病_糖尿病,疾病_糖尿病性周围神经病,药物_甲钴胺片,疾病_糖尿病 → 疾病_糖尿病性周围神经病 → 药物_甲钴胺片
33,疾病_糖尿病,检验_葡萄糖,疾病_肝囊肿,疾病_糖尿病 → 检验_葡萄糖 → 疾病_肝囊肿
34,疾病_糖尿病,检验_葡萄糖,药物_地西泮注射液,疾病_糖尿病 → 检验_葡萄糖 → 药物_地西泮注射液
35,疾病_糖尿病,检验_葡萄糖,药物_碳酸钙片,疾病_糖尿病 → 检验_葡萄糖 → 药物_碳酸钙片
36,疾病_糖尿病,药物_甲钴胺分散片,药物_卡维地洛片,疾病_糖尿病 → 药物_甲钴胺分散片 → 药物_卡维地洛片
37,疾病_糖尿病,药物_阿卡波糖片,疾病_非毒性单个甲状腺结节,疾病_糖尿病 → 药物_阿卡波糖片 → 疾病_非毒性单个甲状腺结节
38,疾病_糖尿病,药物_阿卡波糖片,药物_精蛋白生物合成人胰岛素注射液,疾病_糖尿病 → 药物_阿卡波糖片 → 药物_精蛋白生物合成人胰岛素注射液
39,疾病_糖尿病,药物_阿卡波糖片,检验_谷草转氨酶,疾病_糖尿病 → 药物_阿卡波糖片 → 检验_谷草转氨酶
40,疾病_糖尿病,药物_阿卡波糖片,疾病_糖尿病性周围神经病,疾病_糖尿病 → 药物_阿卡波糖片 → 疾病_糖尿病性周围神经病
41,疾病_糖尿病,药物_阿卡波糖片,疾病_泌尿系感染,疾病_糖尿病 → 药物_阿卡波糖片 → 疾病_泌尿系感染
42,疾病_糖尿病,检验_尿酸,疾病_高尿酸血症,疾病_糖尿病 → 检验_尿酸 → 疾病_高尿酸血症
43,疾病_糖尿病,检验_尿酸,疾病_重度骨质疏松,疾病_糖尿病 → 检验_尿酸 → 疾病_重度骨质疏松
44,疾病_糖尿病,检验_尿酸,检验_钾,疾病_糖尿病 → 检验_尿酸 → 检验_钾
45,疾病_糖尿病,检验_尿酸,疾病_慢性胃炎,疾病_糖尿病 → 检验_尿酸 → 疾病_慢性胃炎
46,疾病_糖尿病,检验_尿酸,药物_劳拉西泮片,疾病_糖尿病 → 检验_尿酸 → 药物_劳拉西泮片
47,疾病_糖尿病,疾病_肝囊肿,疾病_结肠息肉,疾病_糖尿病 → 疾病_肝囊肿 → 疾病_结肠息肉
48,检验_淋巴细胞数量,检验_淋巴细胞比率,检验_中性粒细胞比率,检验_淋巴细胞数量 → 检验_淋巴细胞比率 → 检验_中性粒细胞比率
49,检验_淋巴细胞数量,检验_淋巴细胞比率,药物_维生素B6注射液,检验_淋巴细胞数量 → 检验_淋巴细胞比率 → 药物_维生素B6注射液
50,检验_淋巴细胞数量,检验_直接胆红素,检验_总胆汁酸,检验_淋巴细胞数量 → 检验_直接胆红素 → 检验_总胆汁酸
51,检验_淋巴细胞数量,检验_直接胆红素,检验_碱性磷酸酶,检验_淋巴细胞数量 → 检验_直接胆红素 → 检验_碱性磷酸酶
52,检验_淋巴细胞数量,检验_直接胆红素,药物_盐酸羟考酮缓释片,检验_淋巴细胞数量 → 检验_直接胆红素 → 药物_盐酸羟考酮缓释片
53,检验_淋巴细胞数量,检验_直接胆红素,检验_总胆红素,检验_淋巴细胞数量 → 检验_直接胆红素 → 检验_总胆红素
54,检验_淋巴细胞数量,检验_直接胆红素,疾病_泌尿系感染,检验_淋巴细胞数量 → 检验_直接胆红素 → 疾病_泌尿系感染
55,疾病_低蛋白血症,检验_白球比,检验_C反应蛋白,疾病_低蛋白血症 → 检验_白球比 → 检验_C反应蛋白
56,疾病_低蛋白血症,检验_白球比,检验_前白蛋白,疾病_低蛋白血症 → 检验_白球比 → 检验_前白蛋白
57,疾病_低蛋白血症,检验_白球比,检验_白蛋白,疾病_低蛋白血症 → 检验_白球比 → 检验_白蛋白
58,疾病_低蛋白血症,检验_白球比,检验_血小板,疾病_低蛋白血症 → 检验_白球比 → 检验_血小板
59,疾病_低蛋白血症,检验_白球比,疾病_高脂血症,疾病_低蛋白血症 → 检验_白球比 → 疾病_高脂血症
60,疾病_低蛋白血症,检验_白球比,药物_氯化钾注射液,疾病_低蛋白血症 → 检验_白球比 → 药物_氯化钾注射液
61,疾病_低蛋白血症,检验_白球比,检验_钙,疾病_低蛋白血症 → 检验_白球比 → 检验_钙
62,疾病_低蛋白血症,检验_白球比,药物_盐酸吗啡注射液,疾病_低蛋白血症 → 检验_白球比 → 药物_盐酸吗啡注射液
63,疾病_低蛋白血症,检验_C反应蛋白,药物_复方鲜竹沥液,疾病_低蛋白血症 → 检验_C反应蛋白 → 药物_复方鲜竹沥液
64,疾病_低蛋白血症,检验_C反应蛋白,疾病_低钾血症,疾病_低蛋白血症 → 检验_C反应蛋白 → 疾病_低钾血症
65,疾病_低蛋白血症,检验_C反应蛋白,检验_总蛋白,疾病_低蛋白血症 → 检验_C反应蛋白 → 检验_总蛋白
66,检验_中性粒细胞数量,检验_白细胞,药物_二羟丙茶碱注射液,检验_中性粒细胞数量 → 检验_白细胞 → 药物_二羟丙茶碱注射液
67,检验_中性粒细胞数量,检验_镁,检验_碳酸氢盐,检验_中性粒细胞数量 → 检验_镁 → 检验_碳酸氢盐
68,检验_中性粒细胞数量,药物_苯磺酸氨氯地平片,疾病_高血压,检验_中性粒细胞数量 → 药物_苯磺酸氨氯地平片 → 疾病_高血压
69,药物_螺内酯片,药物_酒石酸美托洛尔片,药物_富马酸比索洛尔片,药物_螺内酯片 → 药物_酒石酸美托洛尔片 → 药物_富马酸比索洛尔片
70,药物_螺内酯片,药物_酒石酸美托洛尔片,药物_硝苯地平缓释片,药物_螺内酯片 → 药物_酒石酸美托洛尔片 → 药物_硝苯地平缓释片
71,检验_氯,检验_钠,药物_重组人促红素注射液,检验_氯 → 检验_钠 → 药物_重组人促红素注射液
72,检验_氯,检验_钠,检验_淋巴细胞比率,检验_氯 → 检验_钠 → 检验_淋巴细胞比率
73,检验_氯,检验_钠,检验_葡萄糖,检验_氯 → 检验_钠 → 检验_葡萄糖
74,检验_氯,药物_单硝酸异山梨酯缓释片,药物_裸花紫珠分散片,检验_氯 → 药物_单硝酸异山梨酯缓释片 → 药物_裸花紫珠分散片
75,药物_重组人促红素注射液,疾病_尿毒症,检验_胆碱酯酶,药物_重组人促红素注射液 → 疾病_尿毒症 → 检验_胆碱酯酶
76,药物_重组人促红素注射液,疾病_尿毒症,检验_谷丙转氨酶,药物_重组人促红素注射液 → 疾病_尿毒症 → 检验_谷丙转氨酶
77,药物_重组人促红素注射液,疾病_尿毒症,疾病_高血压,药物_重组人促红素注射液 → 疾病_尿毒症 → 疾病_高血压
78,药物_重组人促红素注射液,疾病_尿毒症,检验_淋巴细胞数量,药物_重组人促红素注射液 → 疾病_尿毒症 → 检验_淋巴细胞数量
79,药物_重组人促红素注射液,疾病_尿毒症,检验_肌酐,药物_重组人促红素注射液 → 疾病_尿毒症 → 检验_肌酐
80,药物_重组人促红素注射液,疾病_尿毒症,检验_红细胞平均体积,药物_重组人促红素注射液 → 疾病_尿毒症 → 检验_红细胞平均体积
81,药物_重组人促红素注射液,检验_磷,药物_碳酸钙片,药物_重组人促红素注射液 → 检验_磷 → 药物_碳酸钙片
82,药物_重组人促红素注射液,检验_钠,检验_淋巴细胞比率,药物_重组人促红素注射液 → 检验_钠 → 检验_淋巴细胞比率
83,药物_重组人促红素注射液,检验_钠,检验_葡萄糖,药物_重组人促红素注射液 → 检验_钠 → 检验_葡萄糖
84,药物_重组人促红素注射液,检验_钠,检验_氯,药物_重组人促红素注射液 → 检验_钠 → 检验_氯
85,药物_重组人促红素注射液,检验_谷丙转氨酶,检验_谷草转氨酶,药物_重组人促红素注射液 → 检验_谷丙转氨酶 → 检验_谷草转氨酶
86,药物_重组人促红素注射液,检验_谷丙转氨酶,检验_谷草/谷丙,药物_重组人促红素注射液 → 检验_谷丙转氨酶 → 检验_谷草/谷丙
87,药物_重组人促红素注射液,检验_谷丙转氨酶,疾病_肺恶性肿瘤,药物_重组人促红素注射液 → 检验_谷丙转氨酶 → 疾病_肺恶性肿瘤
88,疾病_冠状动脉粥样硬化性心脏病,药物_盐酸曲美他嗪片,药物_硫酸氢氯吡格雷片,疾病_冠状动脉粥样硬化性心脏病 → 药物_盐酸曲美他嗪片 → 药物_硫酸氢氯吡格雷片
89,疾病_冠状动脉粥样硬化性心脏病,药物_盐酸曲美他嗪片,疾病_低蛋白血症,疾病_冠状动脉粥样硬化性心脏病 → 药物_盐酸曲美他嗪片 → 疾病_低蛋白血症
90,疾病_冠状动脉粥样硬化性心脏病,药物_盐酸曲美他嗪片,药物_阿卡波糖片,疾病_冠状动脉粥样硬化性心脏病 → 药物_盐酸曲美他嗪片 → 药物_阿卡波糖片
91,疾病_冠状动脉粥样硬化性心脏病,药物_盐酸曲美他嗪片,疾病_陈旧性脑梗死,疾病_冠状动脉粥样硬化性心脏病 → 药物_盐酸曲美他嗪片 → 疾病_陈旧性脑梗死
92,疾病_冠状动脉粥样硬化性心脏病,疾病_不稳定性心绞痛,疾病_心功能,疾病_冠状动脉粥样硬化性心脏病 → 疾病_不稳定性心绞痛 → 疾病_心功能
93,疾病_冠状动脉粥样硬化性心脏病,疾病_不稳定性心绞痛,疾病_反流性食管炎,疾病_冠状动脉粥样硬化性心脏病 → 疾病_不稳定性心绞痛 → 疾病_反流性食管炎
94,疾病_冠状动脉粥样硬化性心脏病,疾病_不稳定性心绞痛,药物_盐酸曲美他嗪片,疾病_冠状动脉粥样硬化性心脏病 → 疾病_不稳定性心绞痛 → 药物_盐酸曲美他嗪片
95,疾病_冠状动脉粥样硬化性心脏病,药物_单硝酸异山梨酯片,疾病_类风湿性关节炎,疾病_冠状动脉粥样硬化性心脏病 → 药物_单硝酸异山梨酯片 → 疾病_类风湿性关节炎
96,疾病_冠状动脉粥样硬化性心脏病,药物_阿托伐他汀钙片,药物_硫酸氢氯吡格雷片,疾病_冠状动脉粥样硬化性心脏病 → 药物_阿托伐他汀钙片 → 药物_硫酸氢氯吡格雷片
97,疾病_冠状动脉粥样硬化性心脏病,药物_阿托伐他汀钙片,疾病_心律失常,疾病_冠状动脉粥样硬化性心脏病 → 药物_阿托伐他汀钙片 → 疾病_心律失常
98,疾病_冠状动脉粥样硬化性心脏病,疾病_尿毒症,检验_胆碱酯酶,疾病_冠状动脉粥样硬化性心脏病 → 疾病_尿毒症 → 检验_胆碱酯酶
99,疾病_冠状动脉粥样硬化性心脏病,疾病_尿毒症,检验_谷丙转氨酶,疾病_冠状动脉粥样硬化性心脏病 → 疾病_尿毒症 → 检验_谷丙转氨酶
100,疾病_冠状动脉粥样硬化性心脏病,疾病_尿毒症,疾病_高血压,疾病_冠状动脉粥样硬化性心脏病 → 疾病_尿毒症 → 疾病_高血压
101,疾病_冠状动脉粥样硬化性心脏病,疾病_尿毒症,检验_淋巴细胞数量,疾病_冠状动脉粥样硬化性心脏病 → 疾病_尿毒症 → 检验_淋巴细胞数量
102,疾病_冠状动脉粥样硬化性心脏病,疾病_尿毒症,检验_肌酐,疾病_冠状动脉粥样硬化性心脏病 → 疾病_尿毒症 → 检验_肌酐
103,疾病_冠状动脉粥样硬化性心脏病,疾病_尿毒症,检验_红细胞平均体积,疾病_冠状动脉粥样硬化性心脏病 → 疾病_尿毒症 → 检验_红细胞平均体积
104,检验_C反应蛋白,疾病_低钾血症,疾病_心功能,检验_C反应蛋白 → 疾病_低钾血症 → 疾病_心功能
105,检验_C反应蛋白,疾病_低钾血症,检验_钾,检验_C反应蛋白 → 疾病_低钾血症 → 检验_钾
106,检验_C反应蛋白,检验_总蛋白,检验_钙,检验_C反应蛋白 → 检验_总蛋白 → 检验_钙
107,检验_C反应蛋白,检验_总蛋白,检验_球蛋白,检验_C反应蛋白 → 检验_总蛋白 → 检验_球蛋白
108,检验_C反应蛋白,检验_总蛋白,检验_白蛋白,检验_C反应蛋白 → 检验_总蛋白 → 检验_白蛋白
109,疾病_不稳定性心绞痛,疾病_反流性食管炎,药物_贞芪扶正,疾病_不稳定性心绞痛 → 疾病_反流性食管炎 → 药物_贞芪扶正
110,疾病_不稳定性心绞痛,疾病_反流性食管炎,疾病_恶性肿瘤维持性化学治疗,疾病_不稳定性心绞痛 → 疾病_反流性食管炎 → 疾病_恶性肿瘤维持性化学治疗
111,疾病_不稳定性心绞痛,疾病_反流性食管炎,疾病_胆囊结石,疾病_不稳定性心绞痛 → 疾病_反流性食管炎 → 疾病_胆囊结石
112,疾病_不稳定性心绞痛,疾病_反流性食管炎,疾病_贫血,疾病_不稳定性心绞痛 → 疾病_反流性食管炎 → 疾病_贫血
113,疾病_不稳定性心绞痛,疾病_反流性食管炎,疾病_混合痔,疾病_不稳定性心绞痛 → 疾病_反流性食管炎 → 疾病_混合痔
114,疾病_不稳定性心绞痛,疾病_反流性食管炎,疾病_糖尿病性周围神经病,疾病_不稳定性心绞痛 → 疾病_反流性食管炎 → 疾病_糖尿病性周围神经病
115,疾病_不稳定性心绞痛,疾病_反流性食管炎,药物_琥珀酸亚铁片,疾病_不稳定性心绞痛 → 疾病_反流性食管炎 → 药物_琥珀酸亚铁片
116,疾病_不稳定性心绞痛,药物_盐酸曲美他嗪片,药物_硫酸氢氯吡格雷片,疾病_不稳定性心绞痛 → 药物_盐酸曲美他嗪片 → 药物_硫酸氢氯吡格雷片
117,疾病_不稳定性心绞痛,药物_盐酸曲美他嗪片,疾病_低蛋白血症,疾病_不稳定性心绞痛 → 药物_盐酸曲美他嗪片 → 疾病_低蛋白血症
118,疾病_不稳定性心绞痛,药物_盐酸曲美他嗪片,药物_阿卡波糖片,疾病_不稳定性心绞痛 → 药物_盐酸曲美他嗪片 → 药物_阿卡波糖片
119,疾病_不稳定性心绞痛,药物_盐酸曲美他嗪片,疾病_陈旧性脑梗死,疾病_不稳定性心绞痛 → 药物_盐酸曲美他嗪片 → 疾病_陈旧性脑梗死
120,疾病_混合痔,疾病_肛乳头肥大,检验_谷草/谷丙,疾病_混合痔 → 疾病_肛乳头肥大 → 检验_谷草/谷丙
121,药物_盐酸羟考酮缓释片,检验_碱性磷酸酶,检验_转肽酶,药物_盐酸羟考酮缓释片 → 检验_碱性磷酸酶 → 检验_转肽酶
122,药物_盐酸羟考酮缓释片,检验_碱性磷酸酶,药物_盐酸吗啡注射液,药物_盐酸羟考酮缓释片 → 检验_碱性磷酸酶 → 药物_盐酸吗啡注射液
123,药物_盐酸羟考酮缓释片,检验_碱性磷酸酶,检验_尿酸,药物_盐酸羟考酮缓释片 → 检验_碱性磷酸酶 → 检验_尿酸
124,药物_盐酸羟考酮缓释片,检验_碱性磷酸酶,疾病_肝功能异常,药物_盐酸羟考酮缓释片 → 检验_碱性磷酸酶 → 疾病_肝功能异常
125,疾病_肾性贫血,药物_碳酸氢钠片,检验_磷,疾病_肾性贫血 → 药物_碳酸氢钠片 → 检验_磷
126,疾病_肾性贫血,药物_骨化三醇胶丸,疾病_类风湿性关节炎,疾病_肾性贫血 → 药物_骨化三醇胶丸 → 疾病_类风湿性关节炎
127,疾病_肾性贫血,药物_骨化三醇胶丸,药物_碳酸钙片,疾病_肾性贫血 → 药物_骨化三醇胶丸 → 药物_碳酸钙片
128,疾病_肾性贫血,药物_骨化三醇胶丸,药物_酒石酸美托洛尔片,疾病_肾性贫血 → 药物_骨化三醇胶丸 → 药物_酒石酸美托洛尔片
129,疾病_肾性贫血,药物_琥珀酸亚铁片,药物_叶酸片,疾病_肾性贫血 → 药物_琥珀酸亚铁片 → 药物_叶酸片
130,疾病_肾性贫血,药物_琥珀酸亚铁片,疾病_糖尿病性周围血管病,疾病_肾性贫血 → 药物_琥珀酸亚铁片 → 疾病_糖尿病性周围血管病
131,疾病_糖尿病性周围神经病,疾病_糖尿病性周围血管病,疾病_血糖控制不佳,疾病_糖尿病性周围神经病 → 疾病_糖尿病性周围血管病 → 疾病_血糖控制不佳
132,疾病_糖尿病性周围神经病,疾病_糖尿病性视网膜病变,疾病_白内障,疾病_糖尿病性周围神经病 → 疾病_糖尿病性视网膜病变 → 疾病_白内障
133,疾病_糖尿病性周围神经病,疾病_糖尿病性视网膜病变,药物_厄贝沙坦片,疾病_糖尿病性周围神经病 → 疾病_糖尿病性视网膜病变 → 药物_厄贝沙坦片
134,疾病_糖尿病性周围神经病,疾病_高尿酸血症,药物_碳酸氢钠片,疾病_糖尿病性周围神经病 → 疾病_高尿酸血症 → 药物_碳酸氢钠片
135,疾病_糖尿病性周围神经病,疾病_高尿酸血症,药物_硝苯地平控释片,疾病_糖尿病性周围神经病 → 疾病_高尿酸血症 → 药物_硝苯地平控释片
136,疾病_高尿酸血症,药物_碳酸氢钠片,检验_磷,疾病_高尿酸血症 → 药物_碳酸氢钠片 → 检验_磷
137,疾病_高尿酸血症,药物_硝苯地平控释片,药物_厄贝沙坦片,疾病_高尿酸血症 → 药物_硝苯地平控释片 → 药物_厄贝沙坦片
138,疾病_高尿酸血症,药物_硝苯地平控释片,药物_厄贝沙坦氢氯噻嗪片,疾病_高尿酸血症 → 药物_硝苯地平控释片 → 药物_厄贝沙坦氢氯噻嗪片
139,疾病_高血压,药物_阿司匹林肠溶片,疾病_重度骨质疏松,疾病_高血压 → 药物_阿司匹林肠溶片 → 疾病_重度骨质疏松
140,疾病_高血压,药物_阿司匹林肠溶片,药物_阿托伐他汀钙片,疾病_高血压 → 药物_阿司匹林肠溶片 → 药物_阿托伐他汀钙片
141,疾病_高血压,药物_阿司匹林肠溶片,药物_厄贝沙坦片,疾病_高血压 → 药物_阿司匹林肠溶片 → 药物_厄贝沙坦片
142,疾病_高血压,药物_富马酸比索洛尔片,药物_硝苯地平缓释片,疾病_高血压 → 药物_富马酸比索洛尔片 → 药物_硝苯地平缓释片
143,疾病_高血压,药物_富马酸比索洛尔片,疾病_心律失常,疾病_高血压 → 药物_富马酸比索洛尔片 → 疾病_心律失常
144,疾病_高血压,药物_富马酸比索洛尔片,药物_甲钴胺片,疾病_高血压 → 药物_富马酸比索洛尔片 → 药物_甲钴胺片
145,疾病_高血压,药物_硝苯地平控释片,药物_厄贝沙坦片,疾病_高血压 → 药物_硝苯地平控释片 → 药物_厄贝沙坦片
146,疾病_高血压,药物_硝苯地平控释片,药物_厄贝沙坦氢氯噻嗪片,疾病_高血压 → 药物_硝苯地平控释片 → 药物_厄贝沙坦氢氯噻嗪片
147,疾病_高血压,药物_厄贝沙坦氢氯噻嗪片,疾病_低钾血症,疾病_高血压 → 药物_厄贝沙坦氢氯噻嗪片 → 疾病_低钾血症
148,疾病_高血压,疾病_糖尿病,疾病_糖尿病性周围神经病,疾病_高血压 → 疾病_糖尿病 → 疾病_糖尿病性周围神经病
149,疾病_高血压,疾病_糖尿病,检验_葡萄糖,疾病_高血压 → 疾病_糖尿病 → 检验_葡萄糖
150,疾病_高血压,疾病_糖尿病,药物_甲钴胺分散片,疾病_高血压 → 疾病_糖尿病 → 药物_甲钴胺分散片
151,疾病_高血压,疾病_糖尿病,药物_阿卡波糖片,疾病_高血压 → 疾病_糖尿病 → 药物_阿卡波糖片
152,疾病_高血压,疾病_糖尿病,药物_盐酸二甲双胍片,疾病_高血压 → 疾病_糖尿病 → 药物_盐酸二甲双胍片
153,疾病_高血压,疾病_糖尿病,检验_尿酸,疾病_高血压 → 疾病_糖尿病 → 检验_尿酸
154,疾病_高血压,疾病_糖尿病,疾病_肝囊肿,疾病_高血压 → 疾病_糖尿病 → 疾病_肝囊肿
155,疾病_高血压,疾病_反流性食管炎,药物_贞芪扶正,疾病_高血压 → 疾病_反流性食管炎 → 药物_贞芪扶正
156,疾病_高血压,疾病_反流性食管炎,疾病_恶性肿瘤维持性化学治疗,疾病_高血压 → 疾病_反流性食管炎 → 疾病_恶性肿瘤维持性化学治疗
157,疾病_高血压,疾病_反流性食管炎,疾病_胆囊结石,疾病_高血压 → 疾病_反流性食管炎 → 疾病_胆囊结石
158,疾病_高血压,疾病_反流性食管炎,疾病_贫血,疾病_高血压 → 疾病_反流性食管炎 → 疾病_贫血
159,疾病_高血压,疾病_反流性食管炎,疾病_混合痔,疾病_高血压 → 疾病_反流性食管炎 → 疾病_混合痔
160,疾病_高血压,疾病_反流性食管炎,疾病_糖尿病性周围神经病,疾病_高血压 → 疾病_反流性食管炎 → 疾病_糖尿病性周围神经病
161,疾病_高血压,疾病_反流性食管炎,药物_琥珀酸亚铁片,疾病_高血压 → 疾病_反流性食管炎 → 药物_琥珀酸亚铁片
162,疾病_高血压,疾病_动脉硬化,疾病_慢性胃炎,疾病_高血压 → 疾病_动脉硬化 → 疾病_慢性胃炎
163,疾病_高血压,疾病_动脉硬化,疾病_高脂血症,疾病_高血压 → 疾病_动脉硬化 → 疾病_高脂血症
164,疾病_高血压,疾病_脂肪肝,疾病_胆囊结石,疾病_高血压 → 疾病_脂肪肝 → 疾病_胆囊结石
165,疾病_高血压,疾病_脂肪肝,检验_C反应蛋白,疾病_高血压 → 疾病_脂肪肝 → 检验_C反应蛋白
166,疾病_高血压,疾病_脂肪肝,疾病_糖尿病性周围血管病,疾病_高血压 → 疾病_脂肪肝 → 疾病_糖尿病性周围血管病
167,疾病_高血压,疾病_脂肪肝,疾病_肺恶性肿瘤,疾病_高血压 → 疾病_脂肪肝 → 疾病_肺恶性肿瘤
168,疾病_高血压,疾病_混合痔,药物_裸花紫珠分散片,疾病_高血压 → 疾病_混合痔 → 药物_裸花紫珠分散片
169,疾病_高血压,疾病_混合痔,药物_头孢地尼分散片,疾病_高血压 → 疾病_混合痔 → 药物_头孢地尼分散片
170,疾病_高血压,疾病_混合痔,疾病_肛乳头肥大,疾病_高血压 → 疾病_混合痔 → 疾病_肛乳头肥大
171,疾病_高血压,检验_嗜酸性粒细胞数量,检验_嗜酸性粒细胞比率,疾病_高血压 → 检验_嗜酸性粒细胞数量 → 检验_嗜酸性粒细胞比率
172,疾病_高血压,检验_嗜酸性粒细胞数量,疾病_心功能,疾病_高血压 → 检验_嗜酸性粒细胞数量 → 疾病_心功能
173,疾病_高血压,疾病_非毒性多个甲状腺结节,疾病_血糖控制不佳,疾病_高血压 → 疾病_非毒性多个甲状腺结节 → 疾病_血糖控制不佳
174,疾病_高血压,疾病_非毒性多个甲状腺结节,疾病_脂肪肝,疾病_高血压 → 疾病_非毒性多个甲状腺结节 → 疾病_脂肪肝
175,疾病_高血压,疾病_非毒性多个甲状腺结节,检验_红细胞压积,疾病_高血压 → 疾病_非毒性多个甲状腺结节 → 检验_红细胞压积
176,疾病_高血压,疾病_非毒性多个甲状腺结节,疾病_老年性白内障,疾病_高血压 → 疾病_非毒性多个甲状腺结节 → 疾病_老年性白内障
177,疾病_高血压,疾病_非毒性多个甲状腺结节,疾病_后天性肾囊肿,疾病_高血压 → 疾病_非毒性多个甲状腺结节 → 疾病_后天性肾囊肿
178,疾病_高血压,检验_红细胞压积,检验_红细胞分布宽度CV,疾病_高血压 → 检验_红细胞压积 → 检验_红细胞分布宽度CV
179,疾病_高血压,检验_红细胞压积,检验_红细胞,疾病_高血压 → 检验_红细胞压积 → 检验_红细胞
180,疾病_高血压,检验_红细胞压积,检验_直接胆红素,疾病_高血压 → 检验_红细胞压积 → 检验_直接胆红素
181,疾病_高血压,检验_红细胞压积,药物_碳酸氢钠片,疾病_高血压 → 检验_红细胞压积 → 药物_碳酸氢钠片
